seat_id,room_id,mode
I1,I,individual
I2,I,individual
I3,I,individual
I4,I,individual
I5,I,individual
I6,I,individual
I7,I,individual
I8,I,individual
I9,I,individual
I10,I,individual
I11,I,individual
I12,I,individual
I13,I,individual
I14,I,individual
I15,I,individual
I16,I,individual
I17,I,individual
I18,I,individual
I19,I,individual
I20,I,individual
GS101,GS1,groupSmall
GS102,GS1,groupSmall
GS201,GS2,groupSmall
GS202,GS2,groupSmall
GS203,GS2,groupSmall
GL101,GL1,groupLarge
GL102,GL1,groupLarge
GL103,GL1,groupLarge
GL104,GL1,groupLarge
GL105,GL1,groupLarge
GL201,GL2,groupLarge
GL202,GL2,groupLarge
GL203,GL2,groupLarge
GL204,GL2,groupLarge
GL205,GL2,groupLarge
GL206,GL2,groupLarge
GL207,GL2,groupLarge
GL208,GL2,groupLarge
